Abha Narain Lambah,Abha Narain Lambah Associates,,,,
Abin Chaudhuri,Abin Design Studio,,,,
Abraham John & Alan Abraham,Abraham John Architects,,,,
Ainsley Lewis,Ainsley Lewis Architect ,,,,
Ainsley Lewis,Ainsley Lewis Architect ,,,,
Akshat Bhatt,Architecture Discipline,,,,
Akshat Bhatt,Architecture Discipline,,,,
Alfaz Miller,ABM Architects,,,,
Alok Shetty ,Bhumiputra Architecture,,,,
Ambrish Arora, Ankur Choksi, Sidhartha Talwar, Pankhuri Goel & Asha Sairam,Studio Lotus,
Amit Aurora &  Rahul Bansal,Group DCA,,,,
Amit Khanna,Amit Khanna Design Associates,,,,
Amita Kulkarni & Vikrant Tike,SAV Architecture + Design,,,,
Anamika Prasad, Gurneet Singh & Tanmay Tathagat,Environmental Design Solutions,,,
Amita Kulkarni & Vikrant Tike,SAV Architecture + Design,,,,
Annkur Khosla,ANNKUR KHOSLA DESIGN STUDIO,,,,
Anupama Kundoo,Anupama Kundoo Architects,,,,
Anuradha & Vivek Rathore,Salient Design Studio,,,,
Aparna Dhareshwar & Vami Koticha,Sameep Padora & Associates,,,,
Ashiesh Shah,Ashiesh Shah Architecture + Design,,,,
Ayaz & Zameer Basrai,The Busride,,,,
Ayush Kasliwal,Ayush Kasliwal Design Private Ltd,,,,
Babu Cherian,BCA Architecture,,,,
Bhakti & Harish Pote,  Pragya & Gaurav Sanghavi,Pentaspace,,,
Bobby Mukherji,Bobby Mukherji & Associates,,,,
Brijesh Shaijal,Design Art & Culture,,,,
Brinda Somaya,Somaya & Kalappa ,,,,
Canna Patel,HCP INTERIOR DESIGN,,,,
Chitra Vishwanath,Biome Environmental Solutions,,,,
Christopher Charles Benninger,CCBA Designs,,,,
Dean D’Cruz,mozaic,,,,
Dikshu Kukreja,CP Kukreja Architects,,,,
Dipen Gada,Dipen Gada & Associates,,,,
Dominic Dube,DDIR Architecture Studio,,,,
Gayathri Shetty & Namith Varma,Gayathri & Namith Architects ,,,,
Gurjit Singh Matharoo,Matharoo Associates,,,,
Hafeez Contractor,Architect hafeez contractor,,,,
Hiren Patel,Hiren Patel Architects,,,,
Husna Rahaman,Fulcrum Studio,,,,
Jabeen Zacharias,Jabeen Zacharias Architects ,,,,
Jayashree & Kapil Bhalla,Se-Arch,,,,
Jimmy Mistry,DELLA GROUP,,,,
Kamal & Arjun Malik,Malik Architecture ,,,,
Karan Grover,Karan Grover & Associates,,,,
Krupa Zubin & Zubin Zainuddin,ZZ Architects,,,,
Lalita Tharani & Mujib Ahmed,Collaborative Architecture,,,,
Latha R Jaigopal & Jaigopal G Rao,Inspiration,,,,
Linus & Lyle Lopez,Lirio Lopez,,,,
Manish Banker,Tao Architecture,,,,
Manisha Agarwal & Shantanu Poredi,MO-OF/Mobile Offices,,,,
Martand Khosla,Romi Khosla Design Studio,,,,
Minnie Bhatt,Minnie Bhatt Design,,,,
Michael Foley,Foley Designs,,,,
Narendra Pirgal, Smaran Mallesh & Vikram Rajashekar,,Cadence Architects,,
Naresh Narasimhan,Venkataramanan Associates,,,,
Ninad Tipnis,JTCPL Designs,,,,
Nisha Mathew-Ghosh & Soumitro Ghosh,Mathew & Ghosh Architects,,,,
Nithya Srinivasan & Kiran Venkatesh,InFORM Architects,,,,
Noshir Talati,Noshir Talati,,,,
Nuru Karim,NUDES,,,,
Parul Zaveri,Abhikram,,,,
PK  Das,PK Das & Associates,,,,
Ponni & Oscar Concessao,Oscar & Ponni Architects,,,,
Poonam Verma Mascarenhas,Archinova Environs,,,,
Prem Nath,Prem Nath & Associates,,,,
Rahoul B Singh,RLDA Design Studio ,,,,
Rahul Kadri,IM Kadri Architects,,,,
Rajan & Sachin Goregaoker,GA Design,,,,
Rajiv D’Silva,Studio 1573,,,,
Rajiv Saini,Rajiv Saini + Associates,,,,
Ravi Sarangan & Sanjay Srinivasan,Edifice,,,,
Revathi Kamath,Kamath Design Studio,,,,
Reza Kabul,Architect Reza Kabul,,,,
Rooshad Shroff,Rooshad Shroff Architecture+Design,,,,
Rupana & Niroop Reddy,NA Architects,,,,
Rupande Shah,Rupande Shah & Associates,,,,
Sabeena Khanna,Studio KIA,,,,
Saket Sethi,ARCHILOGICS,,,,
Sandeep Khosla & Amaresh Anand,Khosla Associates,,,,
Sandeep Shikre,SSA Architects,,,,
Sandeep Shikre,SSA Architects,,,,
Sanjay Puri,Sanjay Puri Architects,,,,
Santha Gour-Mattoo & Kalhan Mattoo,Planet 3 Studios,,,,
Seema Puri & Zarir Mullan,SEEMA PURI & ZARIR MULLAN ARCHITECTS & INTERIOR DESIGNERS,,,,
Shabnam Gupta,THE ORANGE LANE,,,,
Shera Bano Merchant,Square 9 Designs ,,,,
Shilpa Gore-Shah & Pinkish Shah,S+PS Architects,,,,
Shimul Javeri Kadri,SJK Architects,,,,
Sonal Sancheti & Rahul Gore,Opolis,,,,
Sonali & Manit Rastogi,Morphogenesis,,,,
Sonali Bhagwati,DESIGN PLUS ARCHITECTURE ,,,,
Sumessh Menon,Sumessh Menon Associates ,,,,
Sunita & Kohelika Kohli,K2India,,,,
Sunitha Kondur & Bijoy Ramachandran,Hundredhands,,,,
Swapnil & Rahul Dalvi,Dalvi Associates,,,,
Tallulah D’silva,Architecture T ,,,,
Tanuja & Sanjay Kanvinde,KANVINDE RAI & CHOWDHURY,,,,
Tony Joseph,Stapati,,,,
Uttam C Jain, Shona & Chirag Jain,UCJ architecture & environment ,,,
Vikas Dilawari,Vikas Dilawari Architects,,,,
Vinu Daniel,WallmakersWallmakers,Wallmakers ,,,
Vivek Bhole,VIVEK BHOLE ARCHITECTS,,,,
Yatin Pandya,Footprints EARTH,,,,
Yatin Pandya,Footprints EARTH,,,,
Yatin Patel,DSP Design Associates,,,,
